ID_Venda,ID_Cliente,ID_Produto,ID_Tempo,ID_Vendedor,Quantidade,Valor_Unitario,Desconto,Metodo_Pagamento,Status_Venda,Valor_Total,Receita_Liquida
101,83,47,2372,12,7,836.66,48.77,Cartão de Crédito,Cancelada,5856.62,5807.85
102,36,23,343,14,9,369.87,33.92,Dinheiro,Pendente,3328.83,3294.91
103,81,34,363,10,6,275.37,2.75,MBWay,Pendente,1652.22,1649.47
104,28,33,2671,18,9,521.34,7.27,MBWay,Concluída,4692.06,4684.79
105,3,19,3590,1,7,112.53,41.5,MBWay,Cancelada,787.71,746.21
106,86,40,3536,11,5,638.77,27.28,Paypal,Pendente,3193.85,3166.57
107,58,5,274,12,5,892.26,18.08,Paypal,Cancelada,4461.3,4443.22
108,96,41,494,20,6,494.11,6.67,Cartão de Crédito,Cancelada,2964.66,2957.99
109,63,23,2355,15,6,495.6,41.65,MBWay,Concluída,2973.6,2931.95
110,69,8,1196,19,9,356.15,48.86,Cartão de Crédito,Cancelada,3205.35,3156.49
111,90,15,2580,15,7,279.64,8.93,Paypal,Cancelada,1957.48,1948.55
112,78,44,3350,17,2,234.7,42.16,MBWay,Concluída,469.4,427.24
113,53,39,2994,18,9,177.87,33.95,Paypal,Cancelada,1600.83,1566.88
114,66,18,1163,1,5,533.15,37.06,Cartão de Crédito,Cancelada,2665.75,2628.69
115,41,2,2017,2,3,42.49,3.18,Paypal,Pendente,127.47,124.29
116,35,6,746,8,6,438.43,37.93,MBWay,Concluída,2630.58,2592.65
117,81,20,1472,8,8,783.66,14.01,Dinheiro,Cancelada,6269.28,6255.27
118,74,37,878,12,4,121.88,38.25,Cartão de Crédito,Pendente,487.52,449.27
119,70,21,1081,18,2,938.88,41.93,Cartão de Crédito,Pendente,1877.76,1835.83
120,1,2,202,12,4,988.76,21.8,Dinheiro,Pendente,3955.04,3933.24
121,53,15,1868,1,8,500.62,10.1,Paypal,Pendente,4004.96,3994.86
122,19,41,2414,2,5,442.39,38.22,Cartão de Crédito,Pendente,2211.95,2173.73
123,94,35,198,10,9,233.21,36.52,Cartão de Crédito,Concluída,2098.89,2062.37
124,10,46,3500,9,2,723.31,5.2,Paypal,Cancelada,1446.62,1441.42
125,76,19,3424,8,2,616.41,4.57,Dinheiro,Cancelada,1232.82,1228.25
126,67,5,703,14,6,141.06,44.15,Dinheiro,Concluída,846.36,802.21
127,54,41,1971,1,2,968.93,33.9,MBWay,Cancelada,1937.86,1903.96
128,17,3,998,1,8,705.71,19.36,MBWay,Concluída,5645.68,5626.32
129,96,26,2407,14,5,582.4,26.66,Dinheiro,Cancelada,2912.0,2885.34
130,55,2,2106,5,6,782.39,9.51,Dinheiro,Concluída,4694.34,4684.83
131,53,7,2811,1,7,359.94,37.26,Dinheiro,Concluída,2519.58,2482.32
132,1,20,1090,7,4,846.72,14.38,MBWay,Cancelada,3386.88,3372.5
133,87,35,2440,14,9,135.74,47.78,Dinheiro,Cancelada,1221.66,1173.88
134,41,28,1056,1,1,147.89,35.56,Dinheiro,Cancelada,147.89,112.33
135,51,37,57,7,2,278.34,24.93,Cartão de Crédito,Concluída,556.68,531.75
136,100,38,278,10,9,151.95,44.97,Dinheiro,Concluída,1367.55,1322.58
137,1,32,2400,2,5,48.31,43.7,Cartão de Crédito,Concluída,241.55,197.85
138,9,11,1185,16,8,607.69,30.71,Cartão de Crédito,Concluída,4861.52,4830.81
139,20,42,1329,5,5,322.23,41.44,MBWay,Cancelada,1611.15,1569.71
140,79,22,1022,9,7,577.72,46.42,Dinheiro,Pendente,4044.04,3997.62
141,79,12,769,14,8,383.48,10.78,MBWay,Concluída,3067.84,3057.06
142,100,42,3314,14,3,700.56,18.2,MBWay,Pendente,2101.68,2083.48
143,95,29,555,17,2,631.47,42.82,Dinheiro,Pendente,1262.94,1220.12
144,15,44,2853,8,9,949.35,11.99,Cartão de Crédito,Cancelada,8544.15,8532.16
145,51,25,2705,4,8,304.43,44.0,Cartão de Crédito,Pendente,2435.44,2391.44
146,24,33,2004,10,2,32.37,46.73,Paypal,Pendente,64.74,18.01
147,91,24,2973,4,9,732.83,2.79,Paypal,Pendente,6595.47,6592.68
148,14,46,3377,5,5,474.6,34.46,Cartão de Crédito,Concluída,2373.0,2338.54
149,76,14,2283,8,8,944.92,27.46,Dinheiro,Cancelada,7559.36,7531.9
150,100,18,3283,17,7,496.54,26.23,MBWay,Pendente,3475.78,3449.55
151,91,43,277,11,4,311.6,29.1,Cartão de Crédito,Concluída,1246.4,1217.3
152,64,17,3153,14,5,609.1,1.53,Paypal,Cancelada,3045.5,3043.97
153,71,40,3475,16,6,748.95,41.87,Cartão de Crédito,Cancelada,4493.7,4451.83
154,58,25,2729,19,4,991.78,21.64,Cartão de Crédito,Cancelada,3967.12,3945.48
155,28,24,1984,17,1,253.71,2.53,MBWay,Cancelada,253.71,251.18
156,12,16,246,19,8,160.63,17.29,MBWay,Pendente,1285.04,1267.75
157,34,39,977,2,7,573.43,12.88,Dinheiro,Pendente,4014.01,4001.13
158,46,4,1158,13,1,415.84,18.37,Cartão de Crédito,Pendente,415.84,397.47
159,61,48,2799,2,2,384.86,26.36,Dinheiro,Concluída,769.72,743.36
160,64,41,1763,15,5,375.29,12.53,Dinheiro,Pendente,1876.45,1863.92
161,16,13,1967,1,7,692.95,28.4,Cartão de Crédito,Pendente,4850.65,4822.25
162,77,25,2835,6,4,604.47,5.58,MBWay,Pendente,2417.88,2412.3
163,78,49,1991,12,5,943.79,36.17,Dinheiro,Cancelada,4718.95,4682.78
164,7,25,1133,20,6,330.08,29.31,Paypal,Concluída,1980.48,1951.17
165,33,9,2607,5,7,683.94,49.25,MBWay,Concluída,4787.58,4738.33
166,70,23,2003,5,3,26.66,13.47,Cartão de Crédito,Cancelada,79.98,66.51
167,25,12,449,17,6,477.9,18.48,MBWay,Pendente,2867.4,2848.92
168,77,31,994,12,5,699.55,18.29,Dinheiro,Cancelada,3497.75,3479.46
169,37,17,657,11,6,239.64,40.12,Cartão de Crédito,Concluída,1437.84,1397.72
170,4,48,1728,1,8,56.66,40.77,Cartão de Crédito,Cancelada,453.28,412.51
171,26,39,3015,18,8,195.21,15.73,Cartão de Crédito,Concluída,1561.68,1545.95
172,8,45,2754,9,5,884.5,25.66,Dinheiro,Concluída,4422.5,4396.84
173,43,24,842,14,8,175.91,33.84,MBWay,Cancelada,1407.28,1373.44
174,26,32,3117,1,3,209.93,3.56,Dinheiro,Cancelada,629.79,626.23
175,88,23,559,15,5,121.67,27.92,Dinheiro,Cancelada,608.35,580.43
176,31,7,653,11,1,386.38,49.51,Dinheiro,Pendente,386.38,336.87
177,91,6,2871,1,8,394.37,45.83,Cartão de Crédito,Concluída,3154.96,3109.13
178,61,35,2192,10,9,388.72,3.02,Cartão de Crédito,Pendente,3498.48,3495.46
179,46,15,1925,6,9,86.57,25.8,Cartão de Crédito,Concluída,779.13,753.33
180,52,3,469,13,6,93.28,23.02,Paypal,Pendente,559.68,536.66
181,87,38,3552,15,9,346.27,12.56,Dinheiro,Pendente,3116.43,3103.87
182,33,1,3111,2,6,460.41,44.05,Paypal,Pendente,2762.46,2718.41
183,44,5,3365,19,6,266.49,31.74,Dinheiro,Pendente,1598.94,1567.2
184,69,28,130,20,9,702.65,33.43,Dinheiro,Pendente,6323.85,6290.42
185,67,35,1720,3,8,174.49,22.3,Paypal,Pendente,1395.92,1373.62
186,34,7,2026,17,3,795.05,30.65,Cartão de Crédito,Concluída,2385.15,2354.5
187,44,8,1561,2,2,658.64,6.25,Cartão de Crédito,Pendente,1317.28,1311.03
188,30,43,1932,7,8,561.3,36.21,Paypal,Concluída,4490.4,4454.19
189,77,33,2027,18,5,500.11,26.23,MBWay,Pendente,2500.55,2474.32
190,69,23,1760,15,9,386.63,38.78,Cartão de Crédito,Concluída,3479.67,3440.89
191,71,9,2012,4,7,666.8,4.56,Paypal,Concluída,4667.6,4663.04
192,93,37,2201,17,9,977.66,47.61,Dinheiro,Concluída,8798.94,8751.33
193,49,28,3609,8,8,689.55,22.18,MBWay,Pendente,5516.4,5494.22
194,66,17,3397,12,5,594.82,47.72,Dinheiro,Cancelada,2974.1,2926.38
195,47,13,3064,6,5,374.16,47.74,Dinheiro,Cancelada,1870.8,1823.06
196,35,22,1040,11,7,896.02,20.13,Cartão de Crédito,Cancelada,6272.14,6252.01
197,62,49,2293,10,4,39.57,27.69,MBWay,Concluída,158.28,130.59
198,53,2,2041,11,2,522.2,38.04,Paypal,Pendente,1044.4,1006.36
199,88,4,2159,13,1,282.39,45.32,Paypal,Cancelada,282.39,237.07
200,25,32,2746,19,8,275.58,23.27,Dinheiro,Concluída,2204.64,2181.37
201,55,34,1048,13,9,895.43,29.38,Paypal,Pendente,8058.87,8029.49
202,96,9,3227,6,7,198.49,31.92,Cartão de Crédito,Pendente,1389.43,1357.51
203,36,9,418,6,6,872.96,16.08,MBWay,Cancelada,5237.76,5221.68
204,55,22,345,3,4,439.95,9.67,Cartão de Crédito,Concluída,1759.8,1750.13
205,13,30,1639,14,7,642.92,49.53,Dinheiro,Concluída,4500.44,4450.91
206,71,37,612,11,3,321.02,42.01,Dinheiro,Cancelada,963.06,921.05
207,48,49,3579,5,4,535.33,8.52,Dinheiro,Concluída,2141.32,2132.8
208,19,38,2435,8,5,163.73,40.47,MBWay,Concluída,818.65,778.18
209,80,34,1037,6,8,645.51,46.65,Dinheiro,Cancelada,5164.08,5117.43
210,1,29,1035,2,9,375.3,4.25,Cartão de Crédito,Cancelada,3377.7,3373.45
211,20,38,216,20,9,46.02,3.14,Dinheiro,Cancelada,414.18,411.04
212,19,11,793,10,8,939.83,20.43,Paypal,Concluída,7518.64,7498.21
213,84,10,2083,2,1,495.36,3.86,Cartão de Crédito,Pendente,495.36,491.5
214,28,46,3008,6,1,228.84,36.09,Dinheiro,Cancelada,228.84,192.75
215,70,46,2146,13,8,83.17,18.25,Paypal,Pendente,665.36,647.11
216,66,3,3002,10,2,654.92,40.63,Cartão de Crédito,Concluída,1309.84,1269.21
217,17,26,3600,18,5,45.47,44.84,Paypal,Pendente,227.35,182.51
218,48,31,2846,1,7,966.75,39.47,MBWay,Cancelada,6767.25,6727.78
219,67,3,2785,19,2,441.39,14.32,Cartão de Crédito,Pendente,882.78,868.46
220,67,34,373,9,1,986.49,5.63,Paypal,Concluída,986.49,980.86
221,73,38,2034,6,2,143.44,1.57,Dinheiro,Cancelada,286.88,285.31
222,91,23,998,11,4,159.13,5.67,Paypal,Cancelada,636.52,630.85
223,59,5,2324,9,3,783.92,25.87,Paypal,Concluída,2351.76,2325.89
224,26,14,954,17,8,405.14,21.64,Cartão de Crédito,Cancelada,3241.12,3219.48
225,30,50,2350,12,5,564.0,20.07,Dinheiro,Cancelada,2820.0,2799.93
226,80,31,895,13,2,47.16,25.0,Dinheiro,Pendente,94.32,69.32
227,70,9,2583,3,7,882.85,10.36,Dinheiro,Concluída,6179.95,6169.59
228,41,34,2102,9,7,657.59,41.03,Paypal,Cancelada,4603.13,4562.1
229,81,10,2971,3,8,216.57,7.22,MBWay,Pendente,1732.56,1725.34
230,66,7,623,20,4,160.45,5.31,Paypal,Pendente,641.8,636.49
231,1,36,1311,10,4,842.62,22.52,Dinheiro,Concluída,3370.48,3347.96
232,49,35,9,13,2,686.58,16.72,MBWay,Concluída,1373.16,1356.44
233,11,48,696,8,2,616.88,1.52,Dinheiro,Cancelada,1233.76,1232.24
234,35,24,1076,1,3,286.44,36.16,Cartão de Crédito,Concluída,859.32,823.16
235,29,47,3587,7,2,149.25,34.95,Dinheiro,Concluída,298.5,263.55
236,26,46,1022,19,9,796.62,42.31,Paypal,Cancelada,7169.58,7127.27
237,9,20,3038,20,6,395.84,29.86,Cartão de Crédito,Pendente,2375.04,2345.18
238,35,4,385,4,7,932.29,28.2,Paypal,Pendente,6526.03,6497.83
239,79,2,359,4,6,505.05,14.79,Paypal,Concluída,3030.3,3015.51
240,63,32,2765,17,8,343.26,41.71,Cartão de Crédito,Cancelada,2746.08,2704.37
241,8,6,3087,20,5,87.54,13.23,MBWay,Pendente,437.7,424.47
242,33,37,396,15,8,548.81,44.24,Dinheiro,Concluída,4390.48,4346.24
243,79,48,2891,13,9,748.27,49.01,Paypal,Pendente,6734.43,6685.42
244,57,1,1747,5,7,269.15,49.4,MBWay,Cancelada,1884.05,1834.65
245,78,4,1402,10,8,98.49,25.15,Paypal,Concluída,787.92,762.77
246,24,11,1597,7,5,605.39,47.23,Cartão de Crédito,Concluída,3026.95,2979.72
247,97,43,1400,6,6,649.29,23.42,Dinheiro,Pendente,3895.74,3872.32
248,79,7,2305,13,1,679.58,35.81,Cartão de Crédito,Concluída,679.58,643.77
249,86,37,3622,18,3,364.6,47.91,Cartão de Crédito,Cancelada,1093.8,1045.89
250,9,12,1678,20,7,501.86,27.5,MBWay,Pendente,3513.02,3485.52
251,43,41,1581,10,5,564.95,48.32,MBWay,Concluída,2824.75,2776.43
252,76,28,1723,1,6,62.66,26.72,Paypal,Pendente,375.96,349.24
253,55,13,300,5,6,889.34,3.45,Paypal,Concluída,5336.04,5332.59
254,34,21,2605,17,7,530.07,19.64,Paypal,Pendente,3710.49,3690.85
255,67,22,2430,15,7,152.96,48.48,Paypal,Concluída,1070.72,1022.24
256,62,4,2258,19,2,747.65,36.09,MBWay,Cancelada,1495.3,1459.21
257,30,49,2863,13,1,236.33,26.0,Cartão de Crédito,Concluída,236.33,210.33
258,80,40,2204,9,7,212.44,38.84,MBWay,Cancelada,1487.08,1448.24
259,30,49,3327,1,3,151.86,40.88,Paypal,Pendente,455.58,414.7
260,91,10,2661,3,1,251.12,45.63,Paypal,Cancelada,251.12,205.49
261,19,35,2729,10,5,653.52,12.0,Dinheiro,Concluída,3267.6,3255.6
262,92,49,2842,3,2,664.82,18.79,Cartão de Crédito,Concluída,1329.64,1310.85
263,15,44,177,5,8,119.5,30.14,Cartão de Crédito,Concluída,956.0,925.86
264,46,39,1872,8,1,102.3,15.72,Paypal,Cancelada,102.3,86.58
265,56,11,756,3,3,507.39,45.05,Paypal,Pendente,1522.17,1477.12
266,20,12,840,4,9,330.24,21.12,Cartão de Crédito,Concluída,2972.16,2951.04
267,48,30,2803,3,2,822.94,15.76,MBWay,Cancelada,1645.88,1630.12
268,62,17,2814,4,8,727.97,40.24,MBWay,Cancelada,5823.76,5783.52
269,65,23,2720,20,8,909.2,18.71,Dinheiro,Cancelada,7273.6,7254.89
270,89,17,297,15,4,279.29,21.9,Paypal,Concluída,1117.16,1095.26
271,34,9,2028,4,6,347.67,25.95,Paypal,Cancelada,2086.02,2060.07
272,35,30,2133,20,9,520.14,27.16,Paypal,Pendente,4681.26,4654.1
273,40,24,3533,1,6,295.96,35.4,MBWay,Cancelada,1775.76,1740.36
274,66,49,3190,14,3,566.97,17.38,Cartão de Crédito,Concluída,1700.91,1683.53
275,34,43,437,9,4,216.6,36.71,Paypal,Pendente,866.4,829.69
276,50,47,3595,18,2,967.1,31.15,Paypal,Cancelada,1934.2,1903.05
277,43,11,2143,8,3,437.77,46.38,MBWay,Pendente,1313.31,1266.93
278,100,13,759,15,6,181.66,21.4,Cartão de Crédito,Concluída,1089.96,1068.56
279,92,14,3441,18,2,36.15,34.95,Paypal,Pendente,72.3,37.35
280,9,5,950,12,1,628.01,29.21,MBWay,Cancelada,628.01,598.8
281,99,10,401,1,8,597.61,37.08,Cartão de Crédito,Concluída,4780.88,4743.8
282,41,11,386,15,8,760.77,18.94,MBWay,Pendente,6086.16,6067.22
283,4,6,1493,3,2,798.22,18.55,Cartão de Crédito,Concluída,1596.44,1577.89
284,79,36,3178,5,7,686.66,28.65,MBWay,Pendente,4806.62,4777.97
285,8,37,2631,7,7,577.9,47.93,Paypal,Cancelada,4045.3,3997.37
286,16,26,2681,10,9,108.65,27.81,MBWay,Pendente,977.85,950.04
287,31,42,633,8,5,95.78,21.03,MBWay,Concluída,478.9,457.87
288,92,45,3345,16,2,700.26,20.0,Dinheiro,Cancelada,1400.52,1380.52
289,35,20,3531,15,4,815.62,42.29,MBWay,Pendente,3262.48,3220.19
290,94,12,2249,12,7,667.63,40.61,MBWay,Concluída,4673.41,4632.8
291,41,12,565,17,9,410.07,25.73,Cartão de Crédito,Concluída,3690.63,3664.9
292,38,14,1927,14,4,660.76,24.22,Dinheiro,Pendente,2643.04,2618.82
293,96,22,3317,10,9,639.07,30.56,Paypal,Cancelada,5751.63,5721.07
294,65,2,2629,15,7,670.04,39.08,Dinheiro,Concluída,4690.28,4651.2
295,18,34,2143,11,5,664.46,4.15,Dinheiro,Concluída,3322.3,3318.15
296,31,10,1574,9,4,622.62,19.71,Dinheiro,Pendente,2490.48,2470.77
297,89,44,3492,16,7,495.15,36.61,Dinheiro,Cancelada,3466.05,3429.44
298,75,21,2604,16,2,48.19,6.08,Paypal,Pendente,96.38,90.3
299,91,49,658,16,2,222.41,46.69,Cartão de Crédito,Pendente,444.82,398.13
300,23,39,728,8,6,585.1,44.42,Cartão de Crédito,Cancelada,3510.6,3466.18
301,78,32,2652,13,3,282.46,45.65,Cartão de Crédito,Pendente,847.38,801.73
302,83,8,2215,12,6,545.46,0.89,Paypal,Pendente,3272.76,3271.87
303,59,48,1213,2,8,528.26,40.56,Dinheiro,Pendente,4226.08,4185.52
304,88,47,3055,10,3,356.81,43.26,Paypal,Pendente,1070.43,1027.17
305,41,25,3001,1,2,888.03,22.5,Cartão de Crédito,Pendente,1776.06,1753.56
306,39,5,3144,1,6,186.93,36.03,MBWay,Pendente,1121.58,1085.55
307,71,45,2644,13,4,817.73,17.98,MBWay,Cancelada,3270.92,3252.94
308,95,3,3659,11,6,747.36,28.53,Cartão de Crédito,Concluída,4484.16,4455.63
309,14,28,1308,1,8,771.38,29.8,Dinheiro,Pendente,6171.04,6141.24
310,25,39,2929,17,7,374.53,33.05,Cartão de Crédito,Concluída,2621.71,2588.66
311,12,44,3045,9,6,983.03,45.82,MBWay,Cancelada,5898.18,5852.36
312,99,32,1134,6,9,853.92,39.36,Dinheiro,Cancelada,7685.28,7645.92
313,97,47,216,18,7,288.86,12.4,Cartão de Crédito,Pendente,2022.02,2009.62
314,71,10,380,17,3,781.54,24.36,Cartão de Crédito,Cancelada,2344.62,2320.26
315,10,20,1280,13,3,568.57,49.74,Cartão de Crédito,Concluída,1705.71,1655.97
316,66,19,2534,12,5,728.95,13.1,Paypal,Concluída,3644.75,3631.65
317,60,27,1706,12,3,128.16,27.9,Paypal,Cancelada,384.48,356.58
318,43,14,2587,16,8,90.15,38.24,Dinheiro,Cancelada,721.2,682.96
319,21,21,1956,2,5,590.79,35.4,Cartão de Crédito,Concluída,2953.95,2918.55
320,74,13,68,1,2,774.34,30.98,Cartão de Crédito,Cancelada,1548.68,1517.7
321,79,8,2109,6,9,348.41,33.65,Paypal,Concluída,3135.69,3102.04
322,91,42,212,7,6,706.16,31.05,Paypal,Pendente,4236.96,4205.91
323,87,2,2903,14,1,946.63,13.09,Cartão de Crédito,Cancelada,946.63,933.54
324,57,2,2005,10,4,316.72,5.98,Cartão de Crédito,Pendente,1266.88,1260.9
325,30,35,1548,20,6,445.81,27.37,Cartão de Crédito,Cancelada,2674.86,2647.49
326,92,33,1355,10,1,428.73,40.1,MBWay,Cancelada,428.73,388.63
327,84,21,1295,18,4,422.55,14.43,MBWay,Cancelada,1690.2,1675.77
